股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002382.SZ,2024-01-02,6.7,6.67,6.73,6.65,6.68,0.02,0.2994,55194.0,36969.99,6.994,46.64998,6.67,46.8598,6.7,47.06962,6.73,46.5101,6.65,46.71992,6.68,-0.101,-0.09,-0.023,49.301,32.029,83.846,55.379,44.53,44.795,7.132,6.78,6.428,-1.035
002382.SZ,2024-01-03,6.75,6.69,6.8,6.67,6.7,0.05,0.7463,62801.0,42397.58,6.994,46.78986,6.69,47.2095,6.75,47.5592,6.8,46.64998,6.67,46.8598,6.7,-0.088,-0.089,0.003,61.815,41.957,101.53,62.204,48.824,46.878,7.108,6.768,6.429,38.266
002382.SZ,2024-01-04,6.77,6.75,6.79,6.69,6.75,0.02,0.2963,49104.0,33098.69,6.994,47.2095,6.75,47.34938,6.77,47.48926,6.79,46.78986,6.69,47.2095,6.75,-0.075,-0.086,0.023,71.912,51.942,111.851,64.789,50.497,47.701,7.075,6.756,6.437,60.714
002382.SZ,2024-01-05,6.73,6.75,7.29,6.67,6.77,-0.04,-0.5908,313202.36,216310.85,6.994,47.2095,6.75,47.06962,6.73,50.98626,7.29,46.64998,6.67,47.34938,6.77,-0.067,-0.083,0.031,59.818,54.568,70.32,55.654,47.136,46.206,7.044,6.743,6.442,158.251
002382.SZ,2024-01-08,6.49,6.64,6.71,6.48,6.73,-0.24,-3.5661,297739.01,196177.33,6.994,46.44016,6.64,45.39106,6.49,46.92974,6.71,45.32112,6.48,47.06962,6.73,-0.08,-0.082,0.005,42.561,50.565,26.552,27.617,32.833,38.628,7.016,6.718,6.42,-64.327
002382.SZ,2024-01-09,6.47,6.47,6.58,6.39,6.49,-0.02,-0.3082,129370.63,83661.69,6.994,45.25118,6.47,45.25118,6.47,46.02052,6.58,44.69166,6.39,45.39106,6.49,-0.09,-0.084,-0.013,31.337,44.156,5.699,26.292,31.951,38.085,6.983,6.692,6.402,-101.305
002382.SZ,2024-01-10,6.43,6.46,6.53,6.36,6.47,-0.04,-0.6182,88102.37,56837.56,6.994,45.18124,6.46,44.97142,6.43,45.67082,6.53,44.48184,6.36,45.25118,6.47,-0.1,-0.087,-0.027,23.4,37.237,-4.274,23.578,30.183,37.0,6.963,6.668,6.374,-106.874
002382.SZ,2024-01-11,6.57,6.45,6.59,6.42,6.43,0.14,2.1773,89617.05,58451.31,6.994,45.1113,6.45,45.95058,6.57,46.09046,6.59,44.90148,6.42,44.97142,6.43,-0.096,-0.089,-0.014,23.127,32.534,4.313,46.69,42.361,42.94,6.911,6.648,6.386,-46.46
002382.SZ,2024-01-12,6.53,6.56,6.64,6.51,6.57,-0.04,-0.6088,92007.19,60454.28,6.994,45.88064,6.56,45.67082,6.53,46.44016,6.64,45.53094,6.51,45.95058,6.57,-0.095,-0.09,-0.01,21.511,28.86,6.814,42.304,40.176,41.766,6.867,6.63,6.392,-22.648
002382.SZ,2024-01-15,6.55,6.52,6.6,6.43,6.53,0.02,0.3063,62389.62,40830.69,6.994,45.60088,6.52,45.8107,6.55,46.1604,6.6,44.97142,6.43,45.67082,6.53,-0.091,-0.09,-0.002,21.151,26.29,10.872,45.383,41.813,42.585,6.839,6.616,6.393,-42.21
002382.SZ,2024-01-16,6.46,6.53,6.55,6.39,6.55,-0.09,-1.374,66844.18,43175.87,6.994,45.67082,6.53,45.18124,6.46,45.8107,6.55,44.69166,6.39,45.8107,6.55,-0.094,-0.091,-0.007,17.685,23.422,6.211,35.231,36.863,39.947,6.824,6.601,6.378,-77.51
