股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI,daily_return,stock_code,return_mean_5,return_std_5,open_mean_5,close_mean_5,momentum_5,return_mean_10,return_std_10,open_mean_10,close_mean_10,momentum_10,return_mean_20,return_std_20,open_mean_20,close_mean_20,momentum_20,return_mean_60,return_std_60,open_mean_60,close_mean_60,momentum_60
000001.SZ,2024-04-03,10.46,10.53,10.55,10.42,10.55,-0.09,-0.8531,981845.85,1028648.88,116.713,1228.98789,9.13207,1220.81798,9.07136,1231.32215,9.14941,1216.14946,9.03667,1231.32215,9.14941,0.087,0.105,-0.038,57.827,58.792,55.898,45.258,51.554,54.53,9.254,9.078,8.903,-28.005,-0.006647999851074338,000001.SZ,0.0004056768508775788,0.008345817400633981,9.130332,9.133799999999999,-0.006647999851074338,0.0011672307144230732,0.008035201797867817,9.097377,9.107782,0.000956669598099591,0.0003584186366971498,0.008548073189278747,9.075262,9.078296,0.012584527527677247,0.003934207091614515,0.017345000087623297,8.598711333333334,8.630944166666668,0.1357215382901127
000001.SZ,2024-04-08,10.43,10.42,10.49,10.37,10.46,-0.03,-0.2868,906360.52,945290.44,116.713,1216.14946,9.03667,1217.31659,9.04534,1224.31937,9.09738,1210.31381,8.99331,1220.81798,9.07136,0.075,0.099,-0.048,48.737,55.44,35.33,42.441,50.204,53.881,9.253,9.08,8.908,-67.699,0.0009594242126800268,000001.SZ,0.0009780451311933724,0.00824548335668675,9.114722,9.123391999999999,-0.005720328270337194,0.0010718392160711798,0.008031021255717901,9.094775,9.104313,-0.0038204719587932034,0.0001643882890554338,0.008484800500287337,9.079164500000001,9.080464,0.00481671809979578,0.003932066914830047,0.017345365168840374,8.616489833333334,8.648722666666666,0.133695885133162
000001.SZ,2024-04-09,10.4,10.43,10.47,10.36,10.43,-0.03,-0.2876,857156.73,891468.99,116.713,1217.31659,9.04534,1213.8152,9.01932,1221.98511,9.08003,1209.14668,8.98463,1217.31659,9.04534,0.064,0.092,-0.057,36.658,49.179,11.615,39.491,48.811,53.22,9.252,9.081,8.91,-80.685,-0.0028766193421141395,000001.SZ,-0.0009368368595970899,0.0076772564726396075,9.111252,9.102578000000001,-0.011406944129320418,0.001645510947691886,0.007445896874560603,9.09304,9.107782,0.0038610382397494813,-0.00012438539169872808,0.008485118767538888,9.0826335,9.081331,0.00192624289323029,0.00402920972547595,0.017289622473499338,8.634412833333334,8.667368333333334,0.141602262112402
000001.SZ,2024-04-10,10.28,10.38,10.41,10.27,10.4,-0.12,-1.1538,1246390.82,1288696.2,116.713,1211.48094,9.00198,1199.80964,8.91525,1214.98233,9.028,1198.64251,8.90658,1213.8152,9.01932,0.046,0.083,-0.075,25.251,41.203,-6.652,29.612,43.537,50.629,9.259,9.073,8.887,-152.21,-0.00963454706631195,000001.SZ,-0.005145135098723541,0.004198018317528117,9.086969999999999,9.040136,-0.03383487980440991,0.00019898813469657606,0.00813184781547165,9.095642000000002,9.097375000000001,-0.011538563882864783,-0.001039628482663163,0.00847376942041528,9.0826335,9.073091999999999,-0.018147517133753954,0.0035572813449400663,0.017269345533615983,8.652914,8.681966833333332,0.10895297375157686
000001.SZ,2024-04-11,10.25,10.24,10.29,10.12,10.28,-0.03,-0.2918,1010213.4,1030820.14,116.713,1195.14112,8.88057,1196.30825,8.88924,1200.97677,8.92393,1181.13556,8.7765,1199.80964,8.91525,0.029,0.072,-0.087,24.572,35.66,2.398,27.545,42.291,49.994,9.257,9.06,8.862,-189.333,0.0009762886841722107,000001.SZ,-0.0034446906725296377,0.004686136556374232,9.019326000000001,8.988102000000001,-0.02843571334107886,-0.0011387184215779888,0.0064765051261749754,9.077430000000001,9.067022,-0.03301833941238608,-0.001372496797362538,0.008242740491359587,9.072227000000002,9.059650000000001,-0.02935549809567084,0.003718010523637779,0.017198371303759438,8.667512666666665,8.697866333333334,0.12021897175521423
000001.SZ,2024-04-12,10.06,10.22,10.27,10.04,10.25,-0.19,-1.8537,1305453.71,1322011.75,116.713,1192.80686,8.86322,1174.13278,8.72446,1198.64251,8.90658,1171.79852,8.70712,1196.30825,8.88924,0.002,0.058,-0.112,17.423,29.581,-6.892,17.997,35.308,46.168,9.291,9.048,8.805,-193.722,-0.015655709775905358,000001.SZ,-0.005246232657495842,0.007253611747461157,8.965556000000001,8.918721999999999,-0.038241233949484976,-0.0024202779033091317,0.007950754042490646,9.047944000000001,9.026261,-0.04463500608295823,-0.001205607130360703,0.007893588042275813,9.0587845,9.047942,-0.026137954283137255,0.0034206811146434055,0.017378604752728097,8.682834000000001,8.710585833333333,0.09586009302512544
000001.SZ,2024-04-15,10.29,10.07,10.32,10.06,10.06,0.23,2.2863,1453202.6,1486326.2,116.713,1175.29991,8.73313,1200.97677,8.92393,1204.47816,8.94994,1174.13278,8.72446,1174.13278,8.72446,-0.003,0.046,-0.098,24.636,27.933,18.044,45.46,46.888,50.913,9.287,9.051,8.814,-111.629,0.021847836915287022,000001.SZ,-0.0010685501169744426,0.01430710317734845,8.904848,8.89444,-0.013422381027136554,-4.525249289053512e-05,0.011061425308628624,9.009784999999999,9.008916,-0.019065928871828897,0.00022660738741404063,0.00929924972312854,9.048811,9.050544,0.005865717451411179,0.003912162473567788,0.01747717317300818,8.695987166666667,8.727930666666667,0.13201297943485168
000001.SZ,2024-04-16,10.28,10.28,10.39,10.22,10.29,-0.01,-0.0972,1478036.43,1523138.5,116.713,1199.80964,8.91525,1199.80964,8.91525,1212.64807,9.01065,1192.80686,8.86322,1200.97677,8.92393,-0.008,0.035,-0.085,28.924,28.263,30.246,44.679,46.494,50.711,9.271,9.037,8.803,-61.43,0.0,000001.SZ,-0.0004932262485516148,0.014274019253269911,8.878829999999999,8.873626,-0.011538563882864783,-0.0007150315540743523,0.010807628716653033,8.995040999999999,8.988102,-0.022813888258640724,-1.0347782372860382e-05,0.009238394251230296,9.037103,9.036668,-0.030188941961998284,0.003746946893268697,0.017466336299667477,8.713332000000001,8.743974500000002,0.12104564281959918
000001.SZ,2024-04-17,10.62,10.26,10.63,10.21,10.28,0.34,3.3074,2232640.57,2337576.59,116.713,1197.47538,8.89791,1239.49206,9.21012,1240.65919,9.21879,1191.63973,8.85455,1199.80964,8.91525,0.012,0.031,-0.036,52.051,36.193,83.768,67.471,59.226,56.814,9.282,9.04,8.798,42.589,0.03508801505072534,000001.SZ,0.008451286174855844,0.019983930895925994,8.858016000000001,8.932599999999999,0.03307478758307392,0.001653075538066151,0.015384263554436959,8.972493,8.986368,-0.001879173683765667,0.00183872346878321,0.012099540006474825,9.0240945,9.040137000000001,0.007590195104554054,0.004222227778993857,0.017926419366936373,8.729665,8.764643833333334,0.1556042941244371
000001.SZ,2024-04-18,10.8,10.58,11.03,10.56,10.62,0.18,1.6949,3165914.26,3427338.98,116.713,1234.82354,9.17543,1260.5004,9.36622,1287.34439,9.56569,1232.48928,9.15808,1239.49206,9.21012,0.04,0.033,0.016,60.29,44.225,92.42,74.219,64.153,59.579,9.338,9.057,8.777,180.529,0.020793575886906668,000001.SZ,0.012414743615402735,0.02009565580945244,8.916988,9.027995999999998,0.05365813050384527,0.004485026471436548,0.016096877450062518,8.968157,9.008049,0.02369660994534084,0.0034957321784708506,0.012321842006078589,9.0262625,9.057482,0.03846187960954928,0.004477795585462335,0.01805321417958465,8.750189833333334,8.787625666666667,0.17263759638726928
