股票代码,股票名称,地区,行业,公司全称,英文名称,拼音缩写,市场类型,交易所代码,交易货币,上市状态,上市日期,是否沪深港通标的,实控人名称,企业性质
000001.SZ,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",PAYH,主板,SZSE,CNY,L,1991-04-03 00:00:00,S,无实际控制人,其他
000002.SZ,万科Ａ,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",WKA,主板,SZSE,CNY,L,1991-01-29 00:00:00,S,无实际控制人,其他
000004.SZ,*ST国华,深圳,软件服务,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",*STGH,主板,SZSE,CNY,L,1990-12-01 00:00:00,N,李映彤,民营企业
000006.SZ,深振业Ａ,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",SZYA,主板,SZSE,CNY,L,1992-04-27 00:00:00,S,深圳市人民政府国有资产监督管理委员会,地方国有企业
000007.SZ,全新好,深圳,其他商业,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",QXH,主板,SZSE,CNY,L,1992-04-13 00:00:00,N,无实际控制人,其他
000008.SZ,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co.,Ltd.",SZGT,主板,SZSE,CNY,L,1992-05-07 00:00:00,S,国家开发投资集团有限公司,中央企业
000009.SZ,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",ZGBA,主板,SZSE,CNY,L,1991-06-25 00:00:00,S,无实际控制人,其他
000010.SZ,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd",MLST,主板,SZSE,CNY,L,1995-10-27 00:00:00,N,无实际控制人,其他
000011.SZ,深物业A,深圳,房产服务,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development(Group)Ltd.,SWYA,主板,SZSE,CNY,L,1992-03-30 00:00:00,S,深圳市人民政府国有资产监督管理委员会,地方国有企业
000012.SZ,南玻Ａ,深圳,玻璃,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",NBA,主板,SZSE,CNY,L,1992-02-28 00:00:00,S,无实际控制人,其他
000014.SZ,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",SHGF,主板,SZSE,CNY,L,1992-06-02 00:00:00,N,深圳市人民政府国有资产监督管理委员会,地方国有企业
